epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2895.06,0.60607,0.39542,0.89111,0.86122,0.79523,0.83095,0.58498,1.10229,0.71653,1.28204,0.000381776,0.000381776,0.000381776
96,2925.45,0.58286,0.38124,0.88205,0.84758,0.78237,0.82959,0.57964,1.08872,0.6877,1.28299,0.000378242,0.000378242,0.000378242
97,2956.1,0.59671,0.38746,0.88746,0.87845,0.78682,0.83988,0.59158,1.0887,0.63755,1.27649,0.000374707,0.000374707,0.000374707
98,2986.69,0.5704,0.37349,0.88146,0.83395,0.79954,0.82338,0.5791,1.10021,0.65039,1.2752,0.000371173,0.000371173,0.000371173
99,3017.26,0.57053,0.37191,0.88031,0.8173,0.82896,0.83533,0.58424,1.07853,0.65151,1.27052,0.000367639,0.000367639,0.000367639
100,3047.94,0.58795,0.3764,0.88505,0.86169,0.78962,0.84336,0.59376,1.07996,0.67103,1.26117,0.000364104,0.000364104,0.000364104
101,3078.47,0.57658,0.37753,0.87894,0.86996,0.80526,0.84957,0.59657,1.08397,0.65879,1.25978,0.00036057,0.00036057,0.00036057
102,3108.87,0.56533,0.36596,0.87487,0.84467,0.80885,0.84063,0.59343,1.08576,0.64387,1.27378,0.000357036,0.000357036,0.000357036
103,3139.19,0.57274,0.37361,0.88641,0.85051,0.80686,0.85026,0.59427,1.06687,0.65185,1.2502,0.000353501,0.000353501,0.000353501
104,3169.46,0.58033,0.37593,0.88223,0.85785,0.8051,0.8489,0.5971,1.04295,0.63304,1.24423,0.000349967,0.000349967,0.000349967
105,3199.78,0.60245,0.39408,0.88462,0.87047,0.80598,0.85036,0.59112,1.08051,0.65335,1.26258,0.000346433,0.000346433,0.000346433
106,3230.04,0.57556,0.3751,0.88092,0.87031,0.80369,0.85061,0.59478,1.056,0.63569,1.24609,0.000342899,0.000342899,0.000342899
107,3260.48,0.54595,0.36687,0.8726,0.85669,0.84448,0.86023,0.60199,1.06367,0.63063,1.26358,0.000339364,0.000339364,0.000339364
108,3290.92,0.55611,0.3569,0.87428,0.87198,0.81603,0.85147,0.59657,1.07914,0.62582,1.27135,0.00033583,0.00033583,0.00033583
109,3321.4,0.53932,0.348,0.87453,0.84912,0.8278,0.85927,0.60164,1.07723,0.6423,1.27117,0.000332296,0.000332296,0.000332296
110,3351.9,0.53582,0.34825,0.87028,0.85779,0.82004,0.85659,0.59301,1.08029,0.66012,1.27419,0.000328761,0.000328761,0.000328761
111,3382.5,0.53472,0.34674,0.86739,0.86299,0.78743,0.83915,0.59004,1.07021,0.63629,1.26899,0.000325227,0.000325227,0.000325227
